Published,Sentiment Score
2025-03-01,0.3666666666666667
2025-03-03,0.328125
2025-03-04,0.23636363636363636
2025-03-05,0.5357142857142857
2025-03-06,0.2125
2025-03-07,0.25555555555555554
2025-03-08,0.47500000000000003
2025-03-09,0.28750000000000003
2025-03-10,0.225
2025-03-11,0.33461538461538465
2025-03-12,0.4333333333333333
2025-03-13,0.2785714285714286
2025-03-14,0.4107142857142857
2025-03-15,0.2
2025-03-16,0.625
2025-03-17,0.41470588235294115
2025-03-18,0.29838709677419356
2025-03-19,0.39722222222222225
2025-03-20,0.2267241379310345
2025-03-21,0.306
2025-03-22,0.4954545454545455
2025-03-23,0.4666666666666666
2025-03-24,0.5232258064516129
2025-03-25,0.43409090909090914
2025-03-26,0.41250000000000003
2025-03-27,0.353125
2025-03-28,0.4
2025-03-29,0.45999999999999996
2025-03-30,0.5166666666666667
2025-03-31,0.41470588235294115
2025-04-01,0.47708333333333336
2025-04-02,0.35555555555555557
2025-04-03,0.31875
2025-04-04,0.38125
2025-04-05,0.4375
2025-04-06,0.44000000000000006
2025-04-07,0.4175
2025-04-08,0.38333333333333336
2025-04-09,0.40384615384615385
2025-04-10,0.3923076923076923
2025-04-11,0.436
2025-04-12,0.41500000000000004
2025-04-13,0.43125
2025-04-14,0.5596428571428571
2025-04-15,0.47538461538461535
2025-04-16,0.43894736842105264
2025-04-17,0.23000000000000004
2025-04-18,0.15
