Published,Sentiment Score,Close,High,Low,Open,Volume,score_sq,score_cu,score_dev,inverted_score,skewed_score,inverted_skewed_score
2024-05-04,0.85,181.19000244140625,184.77999877929688,178.4199981689453,182.1000061035156,75491500,0.7224999999999999,0.6141249999999999,0.35,0.15000000000000002,0.7224999999999999,0.022500000000000006
2024-05-05,0.2,184.7599945068359,187.55999755859375,182.1999969482422,183.8000030517578,84390300,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-05-06,0.2,184.7599945068359,187.55999755859375,182.1999969482422,183.8000030517578,84390300,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-05-08,0.8,174.72000122070312,176.05999755859375,170.14999389648438,171.58999633789062,79969500,0.6400000000000001,0.5120000000000001,0.30000000000000004,0.19999999999999996,0.6400000000000001,0.03999999999999998
2024-05-09,0.0,171.97000122070312,175.6199951171875,171.3699951171875,175.00999450683594,65950300,0.0,0.0,0.5,1.0,0.0,1.0
2024-05-10,0.0,168.47000122070312,173.05999755859375,167.75,173.0500030517578,72627200,0.0,0.0,0.5,1.0,0.0,1.0
2024-05-11,0.55,168.47000122070312,173.05999755859375,167.75,173.0500030517578,72627200,0.30250000000000005,0.16637500000000005,0.050000000000000044,0.44999999999999996,0.30250000000000005,0.20249999999999996
2024-05-13,0.2,171.88999938964844,175.39999389648438,169.0,170.0,67018900,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-05-14,0.5,177.5500030517578,179.49000549316406,174.07000732421875,174.5,86407400,0.25,0.125,0.0,0.5,0.25,0.25
2024-05-15,0.7,173.99000549316406,180.0,173.11000061035156,179.89999389648438,79663000,0.48999999999999994,0.3429999999999999,0.19999999999999996,0.30000000000000004,0.48999999999999994,0.09000000000000002
2024-05-16,0.2,174.83999633789062,175.7899932861328,171.42999267578125,174.10000610351562,59812200,0.04000000000000001,0.008000000000000002,0.3,0.8,0.04000000000000001,0.6400000000000001
2024-05-17,0.4,177.4600067138672,179.6300048828125,172.75,173.5500030517578,77445800,0.16000000000000003,0.06400000000000002,0.09999999999999998,0.6,0.16000000000000003,0.36
2024-05-20,0.67,174.9499969482422,177.75,173.52000427246094,177.55999755859375,61727400,0.4489000000000001,0.30076300000000006,0.17000000000000004,0.32999999999999996,0.4489000000000001,0.10889999999999997
2024-05-21,0.4625,186.6000061035156,186.8800048828125,174.7100067138672,175.50999450683594,115266500,0.21390625000000002,0.09893164062500001,0.03749999999999998,0.5375,0.21390625000000002,0.28890625
2024-05-22,0.45,180.11000061035156,183.8000030517578,178.1199951171875,182.8500061035156,88313500,0.2025,0.09112500000000001,0.04999999999999999,0.55,0.2025,0.30250000000000005
2024-05-23,0.425,173.74000549316406,181.8999938964844,173.25999450683594,181.8000030517578,71975500,0.18062499999999998,0.07676562499999999,0.07500000000000001,0.575,0.18062499999999998,0.33062499999999995
2024-05-24,0.7,179.24000549316406,180.0800018310547,173.72999572753906,174.83999633789062,65479700,0.48999999999999994,0.3429999999999999,0.19999999999999996,0.30000000000000004,0.48999999999999994,0.09000000000000002
2024-05-25,0.8,179.24000549316406,180.0800018310547,173.72999572753906,174.83999633789062,65479700,0.6400000000000001,0.5120000000000001,0.30000000000000004,0.19999999999999996,0.6400000000000001,0.03999999999999998
2024-05-27,0.9,176.75,178.25,173.16000366210938,176.39999389648438,59736600,0.81,0.7290000000000001,0.4,0.09999999999999998,0.81,0.009999999999999995
2024-05-28,0.4333333333333333,176.75,178.25,173.16000366210938,176.39999389648438,59736600,0.18777777777777774,0.08137037037037034,0.06666666666666671,0.5666666666666667,0.18777777777777774,0.32111111111111107
2024-05-31,0.7,178.0800018310547,180.32000732421875,173.82000732421875,178.5,67314600,0.48999999999999994,0.3429999999999999,0.19999999999999996,0.30000000000000004,0.48999999999999994,0.09000000000000002
2024-06-01,0.1,178.0800018310547,180.32000732421875,173.82000732421875,178.5,67314600,0.010000000000000002,0.0010000000000000002,0.4,0.9,0.010000000000000002,0.81
2024-06-03,0.35,176.2899932861328,182.63999938964844,174.49000549316406,178.1300048828125,68568900,0.12249999999999998,0.04287499999999999,0.15000000000000002,0.65,0.12249999999999998,0.42250000000000004
2024-06-06,0.5333333333333333,177.94000244140625,179.72999572753906,172.72999572753906,174.60000610351562,69887000,0.28444444444444444,0.1517037037037037,0.033333333333333326,0.4666666666666667,0.28444444444444444,0.2177777777777778
2024-06-07,0.5,177.47999572753906,179.35000610351562,175.5800018310547,176.1300048828125,56244900,0.25,0.125,0.0,0.5,0.25,0.25
2024-06-09,0.7,173.7899932861328,178.57000732421875,173.1699981689453,176.05999755859375,50869700,0.48999999999999994,0.3429999999999999,0.19999999999999996,0.30000000000000004,0.48999999999999994,0.09000000000000002
2024-06-11,0.4583333333333333,170.66000366210938,174.75,167.41000366210938,173.9199981689453,64761900,0.21006944444444442,0.09628182870370369,0.041666666666666685,0.5416666666666667,0.21006944444444442,0.29340277777777785
